date,nom,distance,temps,deniv,mode
2020-11-21,,25,1h10,,velo
2020-11-22,,28,1h20,,velo
2020-11-24,,24,1h02,,velo
2020-11-28,,28,1h22,,velo
2020-11-29,,35,1h34,,velo
2020-12-03,,22,0h58,,velo
2020-12-17,,20,0h57,,velo
2020-12-19,,35,1h31,,velo
2020-12-26,greffeil,7,2h,,rando
2020-12-27,,32,1h27,,velo
2020-12-29,eau salée,5,1h30,,rando
2020-12-31,pic de brau,7,2h,,rando
2021-01-03,saint sernin,4,1h,,rando
2021-01-30,toureille,5,1h30,100,rando
2021-01-31,4 ritous,13,3h00,100,rando
2021-02-07,rennes insolite,9,2h30,190,rando
2021-02-14,camps sur agly,12,3h,540,rando
2021-02-17,,20,0h57,,velo
2021-02-21,sougraigne salz,13,3h30,550,rando
2021-02-25,gardie,7,2h,150,rando
2021-02-27,paulihle,10,2h30,0,rando
2021-02-28,,20,0h57,,velo
2021-03-07,tour du cardou,8,2h30,0,rando
2021-03-10,,20,0h55,,velo
2021-03-12,,42,2h15,,velo
2021-03-14,lac de barenc,11,3h30,0,rando
2021-03-17,,71,3h27,,velo
2021-03-24,,32,1h29,,velo
2021-03-27,,45,1h55,,velo
2021-03-28,Tour du pic d'Estable,13,4h00,,rando
2021-03-31,,34,1h29,,velo
